question_no,test_type,category,emoji,question_text,question_subtext,choice_order,choice_text,score
1,money,daily,💰,오늘 아침 지갑이나 계좌를 떠올렸을 때 가장 먼저 든 생각은?,평소와 가장 가까운 반응을 골라주세요.,1,오늘 쓸 돈부터 계산한다,8
1,money,daily,💰,오늘 아침 지갑이나 계좌를 떠올렸을 때 가장 먼저 든 생각은?,평소와 가장 가까운 반응을 골라주세요.,2,별생각 없이 넘어간다,4
1,money,daily,💰,오늘 아침 지갑이나 계좌를 떠올렸을 때 가장 먼저 든 생각은?,평소와 가장 가까운 반응을 골라주세요.,3,좋은 흐름이 올 것 같다고 느낀다,10
1,money,daily,💰,오늘 아침 지갑이나 계좌를 떠올렸을 때 가장 먼저 든 생각은?,평소와 가장 가까운 반응을 골라주세요.,4,지출 걱정이 먼저 든다,3
2,money,daily,🪙,예상치 못한 5만원이 생기면 가장 먼저 무엇을 하나요?,직감적으로 선택해 주세요.,1,바로 저축한다,9
2,money,daily,🪙,예상치 못한 5만원이 생기면 가장 먼저 무엇을 하나요?,직감적으로 선택해 주세요.,2,소액 투자에 넣어본다,10
2,money,daily,🪙,예상치 못한 5만원이 생기면 가장 먼저 무엇을 하나요?,직감적으로 선택해 주세요.,3,먹고 싶은 것을 산다,5
2,money,daily,🪙,예상치 못한 5만원이 생기면 가장 먼저 무엇을 하나요?,직감적으로 선택해 주세요.,4,가족이나 친구를 위해 쓴다,7
3,money,luck,🍀,오늘 운이 좋다고 느끼는 순간이 있다면 어떤 때인가요?,가장 공감되는 항목을 골라주세요.,1,할인이나 쿠폰을 발견했을 때,7
3,money,luck,🍀,오늘 운이 좋다고 느끼는 순간이 있다면 어떤 때인가요?,가장 공감되는 항목을 골라주세요.,2,뜻밖의 연락이나 제안을 받을 때,10
3,money,luck,🍀,오늘 운이 좋다고 느끼는 순간이 있다면 어떤 때인가요?,가장 공감되는 항목을 골라주세요.,3,지출 없이 하루가 지나갈 때,8
3,money,luck,🍀,오늘 운이 좋다고 느끼는 순간이 있다면 어떤 때인가요?,가장 공감되는 항목을 골라주세요.,4,그런 느낌은 별로 없다,3
4,money,daily,☕,카페에서 음료를 살 때 평소 패턴은 어떤가요?,일상 습관에 가장 가까운 항목을 골라주세요.,1,가격부터 본다,8
4,money,daily,☕,카페에서 음료를 살 때 평소 패턴은 어떤가요?,일상 습관에 가장 가까운 항목을 골라주세요.,2,기분 따라 주문한다,4
4,money,daily,☕,카페에서 음료를 살 때 평소 패턴은 어떤가요?,일상 습관에 가장 가까운 항목을 골라주세요.,3,쿠폰이나 적립 여부를 먼저 본다,9
4,money,daily,☕,카페에서 음료를 살 때 평소 패턴은 어떤가요?,일상 습관에 가장 가까운 항목을 골라주세요.,4,함께 있는 사람 분위기를 따른다,6
5,money,luck,🎁,선물이나 보너스를 받으면 어떤 감정이 가장 먼저 드나요?,가장 솔직한 답을 선택해 주세요.,1,기회가 왔다고 느낀다,10
5,money,luck,🎁,선물이나 보너스를 받으면 어떤 감정이 가장 먼저 드나요?,가장 솔직한 답을 선택해 주세요.,2,아껴 써야겠다고 생각한다,8
5,money,luck,🎁,선물이나 보너스를 받으면 어떤 감정이 가장 먼저 드나요?,가장 솔직한 답을 선택해 주세요.,3,바로 쓰고 싶다,4
